size,bedrooms,age,location_score,income_index,price
1079,3,8,5.57,0.76,292218.0
1192,2,27,6.67,0.87,316465.0
1880,5,6,8.59,1.06,502127.0
2762,6,15,7.57,0.98,605590.0
764,2,15,6.89,0.83,265508.0
2067,5,32,6.99,0.92,445888.0
1852,5,3,5.51,0.78,433478.0
2727,6,3,6.7,0.9,628949.0
2195,5,38,8.09,0.97,478273.0
1862,4,39,9.4,1.19,446923.0
2222,5,16,8.89,1.04,546500.0
1091,3,36,5.59,0.74,286999.0
2398,6,38,9.09,1.15,567902.0
1118,2,28,8.63,0.98,333568.0
1078,3,35,8.62,1.02,341467.0
2496,6,37,7.33,0.91,508466.0
2978,6,38,7.09,0.88,613434.0
2788,6,36,6.71,0.78,575769.0
2882,6,34,5.76,0.75,557474.0
900,2,6,6.41,0.82,317498.0
2563,6,26,6.49,0.81,526590.0
1479,3,27,7.44,0.9,404038.0
1202,3,21,8.49,1.11,384190.0
2451,6,13,7.4,1.01,572609.0
1504,3,6,5.73,0.7,375303.0
2846,6,36,9.33,1.13,638735.0
2595,6,21,9.27,1.18,654066.0
2270,6,4,8.64,1.06,570786.0
1660,4,1,9.47,1.17,492610.0
2185,5,26,7.68,1.0,535866.0
1728,5,20,9.35,1.07,481809.0
1202,3,37,5.8,0.8,311191.0
1097,2,14,6.96,0.88,359849.0
1570,3,20,6.4,0.79,372464.0
1092,2,9,6.28,0.79,329547.0
906,3,22,6.06,0.77,254346.0
1738,5,38,7.99,0.91,450735.0
2581,6,4,8.63,1.15,644168.0
2184,5,0,7.81,0.98,564801.0
1563,4,12,6.09,0.79,385029.0
1263,4,20,8.74,1.14,375918.0
1720,4,25,8.04,0.95,453585.0
795,1,20,7.05,0.91,224432.0
2623,6,17,8.2,1.01,605473.0
2457,6,36,6.54,0.87,542024.0
2978,6,31,6.88,0.76,608098.0
2378,6,35,9.17,1.14,613447.0
1240,3,16,6.66,0.81,366482.0
1759,5,34,7.38,0.95,422522.0
1883,5,10,9.06,1.15,529746.0
2422,6,20,8.33,1.0,580073.0
2519,6,25,5.75,0.69,493516.0
2297,5,3,6.09,0.77,506392.0
1495,3,33,5.53,0.66,317125.0
1751,4,17,8.02,1.04,423276.0
2343,6,39,7.29,0.9,518690.0
2063,6,34,6.04,0.62,444559.0
2681,6,28,9.33,1.14,596822.0
2054,6,28,7.62,0.9,507804.0
2363,6,37,6.47,0.73,514597.0
2229,5,20,7.5,0.88,525601.0
2738,6,12,8.22,1.03,630299.0
2196,6,16,5.8,0.8,511669.0
2937,6,8,6.6,0.85,646084.0
2108,6,0,8.73,1.06,583408.0
2100,6,1,7.34,0.94,527128.0
2006,6,28,7.69,0.94,501792.0
1672,5,32,7.23,0.87,443630.0
2468,6,9,5.68,0.66,527327.0
1982,4,39,6.16,0.69,454319.0
1409,3,20,7.28,0.89,368287.0
2179,5,27,6.34,0.81,479828.0
2134,6,10,5.7,0.72,480910.0
1348,4,33,8.87,1.08,405345.0
1017,2,7,9.42,1.12,346596.0
1957,5,21,8.67,1.11,503119.0
1383,4,7,8.92,1.04,421838.0
1363,4,14,6.47,0.86,379987.0
2698,6,16,9.34,1.11,669229.0
2331,5,22,6.29,0.76,517480.0
2195,5,23,9.31,1.08,506947.0
1836,5,18,9.48,1.15,559021.0
2553,6,4,8.35,1.09,634126.0
2220,5,31,9.42,1.2,538330.0
1263,3,0,7.78,1.02,407003.0
1991,4,22,6.54,0.85,457484.0
2336,5,36,7.25,0.85,492703.0
1398,3,7,7.87,0.97,415338.0
2860,6,12,5.79,0.7,581471.0
701,2,7,7.99,1.07,300873.0
1341,3,22,9.42,1.11,402074.0
2967,6,0,6.26,0.84,613407.0
2289,6,23,8.67,1.13,573437.0
1554,4,34,9.13,1.23,452106.0
2459,6,23,9.27,1.13,615418.0
2361,5,16,9.34,1.2,611059.0
1853,4,4,7.59,1.06,497527.0
1776,4,19,9.41,1.14,483865.0
2407,6,20,8.53,0.99,598813.0
2395,5,39,6.15,0.68,454350.0
2433,6,30,7.41,0.96,530987.0
2139,5,35,8.37,0.95,485836.0
2994,6,10,6.49,0.8,654581.0
1535,4,14,8.06,1.03,457336.0
902,3,18,8.17,1.03,343586.0
822,3,6,6.15,0.8,314219.0
1100,2,27,7.76,0.98,308594.0
1466,3,4,8.59,1.13,453332.0
993,3,4,7.5,0.89,346017.0
897,2,29,5.55,0.67,256418.0
2630,6,31,5.54,0.67,524616.0
2891,6,7,6.93,0.91,628781.0
1308,4,9,9.2,1.19,453538.0
1847,5,37,6.41,0.83,437483.0
886,3,31,8.04,1.06,297893.0
2494,6,27,6.39,0.75,531958.0
1359,3,16,6.79,0.94,350311.0
2655,6,30,8.89,1.18,567759.0
2069,5,7,8.42,1.09,549229.0
2686,6,39,5.88,0.83,549058.0
2234,6,24,7.21,0.82,524781.0
846,2,8,5.62,0.69,227109.0
2434,6,1,7.42,0.89,582303.0
2543,6,14,8.15,1.05,561853.0
1188,2,2,5.97,0.7,357174.0
2659,6,35,6.66,0.88,533919.0
2363,5,3,7.09,0.96,587048.0
1340,4,13,9.18,1.18,459257.0
2502,6,24,9.47,1.19,598228.0
2669,6,9,5.68,0.67,545244.0
2898,6,20,8.54,1.02,659447.0
2138,6,35,6.99,0.94,474754.0
